Abkhazia;Sukhumi;Gagra
Afghanistan;Kabul;Kandahar
Albania;Tirana;Durrës
Algeria;Algiers;Oran
Andorra;Andorra la Vella;Les Escaldes
Angola;Luanda;Cabinda
Antigua_and_Barbuda;St. John's;All Saints
Argentina;Buenos Aires;Córdoba
Armenia;Yerevan;Gyumri
Aruba;Oranjestad;Sint Nicolaas
Australia;Canberra;Sydney;Melbourne
Austria;Vienna;Graz
Azerbaijan;Baku;Ganja
Bahamas;Nassau;Freeport
Bahrain;Manama;Riffa
Bangladesh;Dhaka;Chittagong
Barbados;Bridgetown;Speightstown
Belarus;Minsk;Homel
Belgium;Brussels;Antwerp
Belize;Belize City;San Ignacio;Belmopan
Benin;Cotonou;Abomey-Calavi;Porto-Novo
Bhutan;Thimphu;Phuntsholing
Bolivia;Santa Cruz de la Sierra;El Alto;Sucre;La Paz;Santa Cruz
Bosnia_and_Herzegovina;Sarajevo;Banja Luka
Botswana;Gaborone;Francistown
Brazil;São Paulo;Rio de Janeiro;Brasília;Sao Paulo City;Salvador;Belo Horizonte;Recife;Belém;Porto Alegre;Fortaleza
Brunei;Bandar Seri Begawan;Kuala Belait
Bulgaria;Sofia;Plovdiv
Burkina_Faso;Ouagadougou;Bobo-Dioulasso
Burundi;Bujumbura;Muyinga
Cambodia;Phnom Penh;Battambang
Cameroon;Douala;Yaoundé
Canada;Toronto;Montreal;Ottawa;Vancouver;Calgary
Cape_Verde;Praia;Mindelo
Central_African_Republic;Bangui;Bimbo
Chad;N'Djamena;Moundou
Chile;Santiago;Puente Alto;Concepción;Valparaíso;Greater Concepción;Greater Valparaíso
China;Shanghai;Beijing
Colombia;Bogotá;Medellín
Comoros;Moroni;Mutsamudu
Cook_Islands;Avarua;Amuri;New Zealand
Costa_Rica;San José;Limón
Croatia;Zagreb;Split
Cuba;Havana;Santiago de Cuba
Curaçao;Willemstad;Sint Michiel
Cyprus;Nicosia;Limassol
Czech_Republic;Prague;Brno;Ostrava
Democratic_Republic_of_the_Congo;Kinshasa;Lubumbashi
Denmark;Copenhagen;Aarhus
Djibouti;Djibouti;Ali Sabieh
Dominica;Roseau;Portsmouth
Dominican_Republic;Santo Domingo;Santiago de los Caballeros
East_Timor;Dili;Dare
Ecuador;Guayaquil;Quito
Egypt;Cairo;Alexandria
El_Salvador;San Salvador;Santa Ana
Equatorial_Guinea;Bata;Malabo
Eritrea;Asmara;Assab
Estonia;Tallinn;Tartu
Ethiopia;Addis Ababa;Dire Dawa
Faroe_Islands;Tórshavn;Klaksvík;Denmark
Federated_States_of_Micronesia;Weno;Palikir
Fiji;Nasinu;Suva
Finland;Helsinki;Espoo;Tampere
France;Paris;Marseilles;Lyon
Gabon;Libreville;Port-Gentil
Georgia;Tbilisi;Kutaisi
Germany;Berlin;Hamburg
Ghana;Accra;Kumasi
Greece;Athens;Thessaloniki
Greenland;Nuuk;Sisimiut;Denmark
Grenada;St. George's;Gouyave
Guatemala;Guatemala City;Quetzaltenango
Guinea;Conakry;Guéckédou
Guinea-Bissau;Bissau;Gabú
Guyana;Georgetown;Linden
Haiti;Port-au-Prince;Gonaïves
Honduras;Tegucigalpa;San Pedro Sula
Hungary;Budapest;Debrecen
Iceland;Reykjavík;Akureyri
India;Mumbai;Bangalore
Indonesia;Jakarta;Surabaya
Iran;Tehran;Mashhad
Iraq;Baghdad;Basra
Israel;Jerusalem;Tel Aviv
Italy;Rome;Milan;Naples
Ivory_Coast;Abidjan;Bouaké;Yamoussoukro
Jamaica;Kingston;Spanish Town
Japan;Tokyo;Yokohama;Osaka
Jordan;Amman;Zarqa
Kazakhstan;Almaty;Astana;Shymkent
Kenya;Nairobi;Mombasa
Kiribati;Bairiki;Taburao;South Tarawa
Kosovo;Pristina;Prizren
Kuwait;Kuwait City;Al Jahra
Kyrgyzstan;Bishkek;Osh
Laos;Vientiane;Pakxe
Latvia;Riga;Daugavpils
Lebanon;Beirut;Tripoli
Lesotho;Maseru;Hlotse
Liberia;Monrovia;Gbarnga
Libya;Tripoli;Benghazi
Liechtenstein;Schaan;Vaduz
Lithuania;Vilnius;Kaunas
Luxembourg;Luxembourg City;Esch-sur-Alzette;Luxembourg
Madagascar;Antananarivo;Toamasina
Malawi;Lilongwe;Blantyre
Malaysia;Kuala Lumpur;Johor Bahru;George Town;Putrajaya
Maldives;Malé;Addu City
Mali;Bamako;Sikasso
Malta;Birkirkara;Valletta;Mosta;St. Paul's Bay;Sliema;Qormi;Żabbar;Naxxar;San Ġwann;Marsaskala;Żebbuġ;Fgura;Rabat;Żejtun;Żurrieq;Attard;St. Julian's;Swieqi;Mellieħa;Birżebbuġa;Ħamrun;Msida;Tarxien;Siġġiewi;Gżira;Paola;Santa Venera;Victoria (Gozo)
Marshall_Islands;Rita;Ebeye;Majuro
Mauritania;Nouakchott;Kiffa
Mauritius;Port Louis;Beau Bassin-Rose Hill
Mexico;Mexico City;Guadalajara
Moldova;Chişinău;Tiraspol;Chișinău
Monaco;Monte Carlo;La Condamine;Monaco
Mongolia;Ulan Bator;Erdenet
Montenegro;Podgorica;Nikšić
Morocco;Casablanca;Rabat
Mozambique;Maputo;Nampula
Myanmar;Yangon;Mandalay;Nay Pyi Taw
Namibia;Windhoek;Rundu
Nauru;Yaren;Denigomudu;Yaren District;Denigomodu;Meneng;Aiwo
Nepal;Kathmandu;Pokhara
Netherlands;Amsterdam;Rotterdam;The Hague
New_Zealand;Auckland;Christchurch;Wellington
Nicaragua;Managua;León
Niger;Niamey;Zinder
Nigeria;Lagos;Ibadan;Abuja;Kano;Ilorin;Port Harcourt;Ogbomosho
Niue;Alofi;Hakupu;Namukulu
North_Korea;Pyongyang;Hamhung
Norway;Oslo;Bergen
Oman;Muscat;Salalah
Pakistan;Karachi;Lahore;Islamabad;Faisalabad;Rawalpindi;Gujranwala;Multan;Hyderabad;Peshawar;Quetta
Palau;Koror;Airai;Ngerulmud;Meyuns
Palestine;Jerusalem;Gaza City;Hebron
Panama;Panama City;Colón
Papua_New_Guinea;Port Moresby;Lae
Paraguay;Asunción;Ciudad del Este
Peru;Lima;Arequipa
Philippines;Quezon City;Metro Manila;Manila;Metro Cebu;National Capital Region
Poland;Warsaw;Kraków;Katowice
Portugal;Lisbon;Porto
Qatar;Doha;Al Khor
Republic_of_Ireland;Dublin;Cork
Republic_of_Macedonia;Skopje;Bitola
Republic_of_the_Congo;Brazzaville;Pointe-Noire
Romania;Bucharest;Cluj-Napoca
Russia;Moscow;Saint Petersburg
Rwanda;Kigali;Gitarama
Saint_Kitts_and_Nevis;Basseterre;Charlestown
Saint_Lucia;Castries;Bexon
Saint_Vincent_and_the_Grenadines;Kingstown;Georgetown
Samoa;Apia;Vaitele
San_Marino;Dogana;Borgo Maggiore;San Marino;Serravalle
Saudi_Arabia;Riyadh;Jeddah
Senegal;Dakar;Thiès
Serbia;Belgrade;Novi Sad
Seychelles;Victoria;Anse Etoile
Sierra_Leone;Freetown;Bo
Singapore;Singapore;
Slovakia;Bratislava;Košice
Slovenia;Ljubljana;Maribor
Solomon_Islands;Honiara;Gizo
Somalia;Mogadishu;Hargeisa
South_Africa;Cape Town;Johannesburg;Durban;Pretoria;Bloemfontein
South_Korea;Seoul;Busan
South_Ossetia;Tskhinvali;Akhalgori
South_Sudan;Juba;Yei
Spain;Madrid;Barcelona
Sri_Lanka;Colombo;Dehiwala-Mount Lavinia;Kandy;Sri Jayawardenepura Kotte
Sudan;Omdurman;Khartoum;Khartoum;Port Sudan
Suriname;Paramaribo;Lelydorp
Swaziland;Manzini;Mbabane;Lobamba
Sweden;Stockholm;Gothenburg
Switzerland;Zürich;Geneva;Bern;Zurich;Basel;Lausanne
Syria;Aleppo;Damascus
São_Tomé_and_Príncipe;São Tomé;Trindade
Taiwan;Kaohsiung;Taichung
Tajikistan;Dushanbe;Khujand
Tanzania;Dar es Salaam;Mwanza;Dodoma
Thailand;Bangkok;Hat Yai;Chiang Mai
The_Gambia;Serekunda;Brikama;Banjul
Togo;Lomé;Sokodé
Tonga;Nukuʻalofa;Mu'a
Trinidad_and_Tobago;Chaguanas;San Fernando;Port of Spain;San Juan
Tunisia;Tunis;Sfax
Turkey;Istanbul;Ankara
Turkmenistan;Ashgabat;Türkmenabat
Tuvalu;Vaiaku;Asau;Funafuti
Uganda;Kampala;Gulu
Ukraine;Kiev;Kharkiv;Donetsk
United_Arab_Emirates;Dubai;Abu Dhabi
United_Kingdom;London;Birmingham;Manchester;City of Westminster;
United_States;New York City;Los Angeles;Washington, D.C.;Chicago;Houston;Philadelphia;Phoenix;San Antonio;San Diego;Dallas;San Jose;Austin;Jacksonville;Indianapolis;San Francisco;Columbus;Fort Worth;Charlotte;Detroit;El Paso;Memphis;Boston;Seattle;Denver;Baltimore-Washington Metropolitan Area
Uruguay;Montevideo;Salto
Uzbekistan;Tashkent;Namangan
Vanuatu;Port Vila;Luganville
Vatican_City;Vatican City
Venezuela;Caracas;Maracaibo
Vietnam;Ho Chi Minh City;Hanoi
Yemen;Sana'a;Aden
Zambia;Lusaka;Kitwe
Zimbabwe;Harare;Bulawayo
